name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate
IPHONE 6S 16 GB ID:150496-4,230.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 13 Capacitors type,5 MP,
APPLE IPHONE 8 64 GB ID: 151080-V,480.00,Yes Capacitors type,No,1900 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,8 MP,
APPLE IPHONE X 64GB ID: 150601-V,1100.00,Yes Capacitors type,No,2800 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,3 GB Capacitors type,5.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 6S 32GB ID: 157300-2,250.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 14 Capacitors type,5 MP,
APPLE IPHONE 7 32 GB ID: 145513-V,350.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
APPLE IPHONE 6S 32GB ID: 146091-V,270.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,1 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
iphone x saswrapot 900 gel,880.00,Yes Capacitors type,Yes,2700 Capacitors type,Yes Capacitors type,AMOLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,13 MP,3 GB Capacitors type,5.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2018 Y.,IOS 15 Capacitors type,8 MP,
"იყიდება iphone 7 gold, თავის ყუთით უნაკაწრო იდეალურ მდგომარე",500.00,Yes Capacitors type,No,1000 Capacitors type,Yes Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,1 MP,4 GB Capacitors type,6 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,No Capacitors type,Yes Capacitors type,2017 Y.,,1 MP,IP5x Capacitors type
Iphone 7 აიფონი 7,589.00,Yes Capacitors type,Yes,700 Capacitors type,No Capacitors type,LCD Capacitors type,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,1 MP,1 GB Capacitors type,3.5 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,,1 MP,IPx7 Capacitors type
iphone 7+,680.00,Yes Capacitors type,No,2900 Capacitors type,No Capacitors type,LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,3 GB Capacitors type,5.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,IOS 15 Capacitors type,8 MP,IP6x Capacitors type
ipnone 5s,170.00,Yes Capacitors type,No,1600 Capacitors type,Yes Capacitors type,Super AMOLED Plus Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2014 Y.,iOS 12 Capacitors type,8 MP,
Iphone 11 pro max 64gb,2000.00,Yes Capacitors type,Yes,3800 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,3 MP,,6 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2018 Y.,IOS 15 Capacitors type,,
iphone 5Se,140.00,Yes Capacitors type,No,2900 Capacitors type,Yes Capacitors type,TFT Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,2 MP,1.5 GB Capacitors type,4.4 Inch,One SIM Capacitors type,Micro-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,,,1 MP,IP6x Capacitors type
Apple iphone 7,270.00,Yes Capacitors type,Yes,2400 Capacitors type,No Capacitors type,Liquid Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,8 MP,3 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2018 Y.,iOS 14 Capacitors type,8 MP,IPx7 Capacitors type
