name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
Iphone 8,850,Yes ,No,1600,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4,5.45,One SIM ,Micro-SIM ,Yes ,Yes ,2021 Y.,iOS 8 ,1,IPx8 ,8
იყიდება Iphone 6s 64GB,300,Yes ,No,1700,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4,4.7,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,,2,,6s
iPhone X,1099,Yes ,No,5000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4,5.9,One SIM ,Nano-SIM ,No ,Yes ,2019 Y.,IOS 15 ,1,MIL-STD-810D ,x
Iphone x,450,Yes ,No,800,Yes ,Foldable Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4,5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 11 ,2,IPx5 ,x
IPHONE 8. 64GB GOLD,550,Yes ,No,1800,No ,,Yes ,64,Yes ,No ,1,iOS ,12,2,4.7,One SIM ,Micro-SIM ,,,2020 Y.,,7,,8
iphone 12 pro,1200,No ,Yes,4500,Yes,,No ,128,No ,No ,3,iOS ,48,6,6,One SIM ,Nano-SIM ,,,,,1,,12 pro
Iphone 7,300,Yes ,No,2000,No ,,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,7
iPhone 6s,200,Yes ,No,1700,Yes ,,Yes ,16,Yes ,No ,2,iOS ,1,4,3,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,,1,,6s
Iphone 6,220,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,iOS 12 ,1,IPx5 ,6
iPhone 6s 32GB,150,Yes ,No,1200,Yes ,,Yes ,32,Yes ,Yes ,1,iOS ,13,3,5.5,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,6s
IPhone 11 Pro Max იყიდება,2000,Yes ,No,3900,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,2,IPx8 ,11 pro
იყიდება iPhone XS 64GB Space Gray,1150,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IP6x ,xs
იყიდება iPhone XS 64GB Gold,1000,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IP6x ,xs
Iphone 4s,80,Yes ,No,2500,Yes ,LCD ,No ,8,No ,No ,1,iOS ,1,2,4,One SIM ,Micro-SIM ,Yes ,No ,2012 Y.,iOS 9 ,1,,4s
iPhone XS აიფონ 10s,1000,Yes ,No,2800,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,8,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,xs
iPhone 6 32GB,500,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,No ,1,iOS ,1,2,4.7,One SIM ,Mini-SIM ,No ,Yes ,2017 Y.,IOS 15 ,1,,6
Iphone Xs,550,Yes ,Yes,2400,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,2,8,6.67,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 11 ,1,,xs
Iphone 3 gs,80,Yes ,No,2500,Yes ,LCD ,Yes ,4,No ,No ,1,iOS ,1,2,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2010 Y.,iOS 6 ,1,,3 gs
"Iphone 6s, 32 gb",300,Yes ,Yes,800,No ,,No ,32,Yes ,No ,2,iOS ,5,4,4.2,One SIM ,Nano-SIM ,,,2011 Y.,,1,,6s
iphone 7 plus 32 GB,650,Yes ,No,2100,No ,,Yes ,64,Yes ,Yes ,2,iOS ,2,4,5.7,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,,1,,7
იყიდება მეორადი Iphone 8 plus თეთრი,550,No ,Yes,1000,No ,,Yes ,64,Yes ,No ,2,iOS ,3,4,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2017 Y.,,1,,8
iphone x,450,Yes ,Yes,2300,Yes,,Yes ,256,Yes ,Yes ,3,iOS ,32,4,6,One SIM ,Mini-SIM ,,,,,2,,x
მობილური iphone 6,250,Yes ,Yes,1500,No ,,Yes ,64,Yes ,Yes ,1,iOS ,1,1,5.1,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,iOS 13 ,1,,6
მობილური iphone 7,400,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4,5.1,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,7
Iphone 7,350,Yes ,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,8,4,4,One SIM ,Micro-SIM ,Yes ,Yes ,,iOS 12 ,5,,7
Impone 6 გამოგადგებათ ნაწილებადაც!,100,Yes ,No,1500,No ,,No ,16,Yes ,No ,2,iOS ,1,2,4,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,,1,,6
იყიდება შავი Iphone 8 plus,950,Yes ,Yes,1000,No ,,No ,64,Yes ,No ,1,iOS ,2,4,5.5,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,,1,,8
Iphone 5s gold,160,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,1,1,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2013 Y.,iOS 11 ,1,IP5x ,5s
Iphone 12 Pro Max,1000,Yes ,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,iOS ,13,0.5,3,Dual SIM ,Nano-SIM ,Yes ,Yes ,,--- ,1,,12 pro
iphone 12 pro graphite 128 gb,2950,Yes ,Yes,4100,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,4,4.4,One SIM ,Nano-SIM ,No ,Yes ,2020 Y.,,8,,12 pro
APPLE IPHONE 7 32GB ID: 163191-2,350,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 14 ,5,,7
